구분,업소명,소재지,위도,경도,데이터기준일자
동물병원,표선가축병원,제주특별자치도 서귀포시 표선면 표선관정로 113-5,33.32382247,126.8321519,2021-08-31
동물병원,서울동물병원,제주특별자치도 서귀포시 동문로 29 ,33.2511103,126.5640282,2021-08-31
동물병원,동아동물병원,제주특별자치도 서귀포시 성산읍 서성일로 1241,33.44712309,126.9111591,2021-08-31
동물병원,서귀포시축협동물병원,제주특별자치도 서귀포시 일주동로 8532 ,33.25507939,126.5767208,2021-08-31
동물병원,조은동물병원,제주특별자치도 서귀포시 동문로 40 ,33.25027843,126.5648974,2021-08-31
동물병원,현대동물병원,제주특별자치도 서귀포시 동홍로90번길 2,33.25634381,126.5682416,2021-08-31
동물병원,가람동물병원,제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22,33.21931917,126.2527587,2021-08-31
동물병원,맑은동물병원,제주특별자치도 서귀포시 표선면 민속해안로 3,33.30659161,126.8062515,2021-08-31
동물병원,다산동물병원,제주특별자치도 서귀포시 표선면 일주동로6496번길 2,33.30787196,126.7779756,2021-08-31
동물병원,서귀포동물의료센터,제주특별자치도 서귀포시 동문로 13 ,33.25208043,126.5627373,2021-08-31
동물병원,제마동물병원,제주특별자치도 서귀포시 대정읍 형제해안로 256 ,33.21199287,126.2919441,2021-08-31
동물병원,정든동물병원,제주특별자치도 서귀포시 신서로48번길 31 ,33.25357747,126.5086363,2021-08-31
동물병원,현클리닉,제주특별자치도 서귀포시 하신상로 174-12,33.27386749,126.6098344,2021-08-31
동물병원,케어팜동물병원,제주특별자치도 서귀포시 안덕면 사계북로 17-16,33.23268846,126.2904816,2021-08-31
동물병원,캣츠앤독스 동물병원,제주특별자치도 서귀포시 일주동로 8621,33.2542169,126.5671626,2021-08-31
동물병원,미듬동물병원,제주특별자치도 서귀포시 대정읍 하모중앙로 32,33.22542834,126.2522667,2021-08-31
동물병원,도담도담,제주특별자치도 서귀포시 남원읍 태위로 723번길 31-11,33.28174901,126.7209915,2021-08-31
동물병원,25힐링센터,제주특별자치도 서귀포시 표선면 성읍정의현로 122번길 15,33.393779,126.7991442,2021-08-31
동물병원,중문동물병원,제주특별자치도 서귀포시 천제연로 265,33.25132692,126.4329731,2021-08-31
동물병원,남원동물병원,제주특별자치도 서귀포시 남원읍 태위로 687,33.2794969,126.7198617,2021-08-31
동물병원,에듀동물병원,제주특별자치도 서귀포시 대정읍 글로벌에듀로 390,33.27968798,126.2767634,2021-08-31
동물병원,정직한동물병원,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,33.2807072,126.2782597,2021-08-31
동물병원,팻밀리동물병원,제주특별자치도 서귀포시 대정읍 상모대서로38 ,33.22615103,126.2582233,2021-08-31
동물병원,이도씨동물의료센터,제주특별자치도 서귀포시 신서귀로97번길 51,33.2539739,126.5069911,2021-08-31
